vendedor_id,vendedor_nome,vertical,ano,quarter,meta_receita
V001,Ana Paula Ferreira,CORPORATE,2025,Q1,175008.78
V001,Ana Paula Ferreira,CORPORATE,2025,Q2,180963.03
V001,Ana Paula Ferreira,CORPORATE,2025,Q3,206410.16
V001,Ana Paula Ferreira,CORPORATE,2025,Q4,258442.66
V001,Ana Paula Ferreira,CORPORATE,2026,Q1,243824.39
V001,Ana Paula Ferreira,CORPORATE,2026,Q2,245754.87
V001,Ana Paula Ferreira,CORPORATE,2026,Q3,219204.73
V001,Ana Paula Ferreira,CORPORATE,2026,Q4,243951.78
V002,Bruno Carvalho,CORPORATE,2025,Q1,231318.84
V002,Bruno Carvalho,CORPORATE,2025,Q2,247338.25
V002,Bruno Carvalho,CORPORATE,2025,Q3,225544.27
V002,Bruno Carvalho,CORPORATE,2025,Q4,208911.83
V002,Bruno Carvalho,CORPORATE,2026,Q1,227257.74
V002,Bruno Carvalho,CORPORATE,2026,Q2,186632.71
V002,Bruno Carvalho,CORPORATE,2026,Q3,243669.51
V002,Bruno Carvalho,CORPORATE,2026,Q4,229171.88
V003,Carla Mendes,MIDDLE,2025,Q1,74147.92
V003,Carla Mendes,MIDDLE,2025,Q2,94699.93
V003,Carla Mendes,MIDDLE,2025,Q3,87680.52
V003,Carla Mendes,MIDDLE,2025,Q4,85141.7
V003,Carla Mendes,MIDDLE,2026,Q1,78441.3
V003,Carla Mendes,MIDDLE,2026,Q2,92031.28
V003,Carla Mendes,MIDDLE,2026,Q3,102527.29
V003,Carla Mendes,MIDDLE,2026,Q4,85746.71
V004,Diego Souza,MIDDLE,2025,Q1,92037.19
V004,Diego Souza,MIDDLE,2025,Q2,82082.81
V004,Diego Souza,MIDDLE,2025,Q3,93115.5
V004,Diego Souza,MIDDLE,2025,Q4,71864.09
V004,Diego Souza,MIDDLE,2026,Q1,83008.27
V004,Diego Souza,MIDDLE,2026,Q2,83293.99
V004,Diego Souza,MIDDLE,2026,Q3,69006.94
V004,Diego Souza,MIDDLE,2026,Q4,84454.96
V005,Fernanda Lima,CORPORATE,2025,Q1,220778.82
V005,Fernanda Lima,CORPORATE,2025,Q2,170991.77
V005,Fernanda Lima,CORPORATE,2025,Q3,197248.54
V005,Fernanda Lima,CORPORATE,2025,Q4,228059.81
V005,Fernanda Lima,CORPORATE,2026,Q1,250389.89
V005,Fernanda Lima,CORPORATE,2026,Q2,225788.88
V005,Fernanda Lima,CORPORATE,2026,Q3,173836.86
V005,Fernanda Lima,CORPORATE,2026,Q4,251635.26
V006,Gabriel Rocha,MIDDLE,2025,Q1,102660.67
V006,Gabriel Rocha,MIDDLE,2025,Q2,84844.66
V006,Gabriel Rocha,MIDDLE,2025,Q3,94030.35
V006,Gabriel Rocha,MIDDLE,2025,Q4,77968.55
V006,Gabriel Rocha,MIDDLE,2026,Q1,103343.13
V006,Gabriel Rocha,MIDDLE,2026,Q2,80878.92
V006,Gabriel Rocha,MIDDLE,2026,Q3,98810.22
V006,Gabriel Rocha,MIDDLE,2026,Q4,86115.4
V007,Helena Costa,CORPORATE,2025,Q1,201395.07
V007,Helena Costa,CORPORATE,2025,Q2,233560.22
V007,Helena Costa,CORPORATE,2025,Q3,205156.19
V007,Helena Costa,CORPORATE,2025,Q4,175648.92
V007,Helena Costa,CORPORATE,2026,Q1,229032.73
V007,Helena Costa,CORPORATE,2026,Q2,201668.03
V007,Helena Costa,CORPORATE,2026,Q3,234728.82
V007,Helena Costa,CORPORATE,2026,Q4,200536.2
V008,Igor Nascimento,MIDDLE,2025,Q1,93746.56
V008,Igor Nascimento,MIDDLE,2025,Q2,96321.09
V008,Igor Nascimento,MIDDLE,2025,Q3,78020.25
V008,Igor Nascimento,MIDDLE,2025,Q4,95453.87
V008,Igor Nascimento,MIDDLE,2026,Q1,78905.48
V008,Igor Nascimento,MIDDLE,2026,Q2,82181.43
V008,Igor Nascimento,MIDDLE,2026,Q3,100981.76
V008,Igor Nascimento,MIDDLE,2026,Q4,91224.82
